count;geo_local_area
1;Strathcona
1;Strathcona
10;Downtown
3;Downtown
7;Strathcona
13;Downtown
6;Downtown
6;Downtown
6;Downtown
5;Downtown
8;Downtown
8;Downtown
9;Downtown
4;Downtown
3;Strathcona
15;Downtown
15;Downtown
3;Downtown
8;Downtown
5;Strathcona
1;Strathcona
6;Downtown
1;Strathcona
2;Strathcona
4;Strathcona
1;Downtown
1;Downtown
3;Strathcona
3;Strathcona
1;Strathcona
1;Strathcona
7;Downtown
2;Downtown
2;Downtown
6;Strathcona
2;Strathcona
2;Strathcona
3;Downtown
2;Downtown
5;Downtown
14;Downtown
2;Downtown
2;Strathcona
11;Strathcona
3;Strathcona
3;Strathcona
3;Strathcona
3;Downtown
3;Downtown
2;Downtown
2;Downtown
2;Downtown
2;Downtown
19;Downtown
5;Strathcona
9;Strathcona
12;Downtown
1;Downtown
11;Strathcona
20;Downtown
3;Downtown
3;Downtown
3;Downtown
2;Strathcona
14;Strathcona
14;Strathcona
4;Downtown
2;Strathcona
1;Downtown
2;Strathcona
1;Strathcona
1;Downtown
2;Downtown
2;Strathcona
2;Strathcona
3;Downtown
1;Downtown
13;Downtown
2;Downtown
2;Strathcona
7;Strathcona
1;Downtown
3;Strathcona
15;Strathcona
2;Downtown
1;Downtown
1;Strathcona
2;Downtown
4;Downtown
5;Strathcona
1;Downtown
13;Strathcona
1;Strathcona
6;Strathcona
3;Strathcona
3;Strathcona
3;Strathcona
1;Strathcona
10;Downtown
10;Downtown
10;Downtown
8;Strathcona
5;Downtown
5;Downtown
3;Strathcona
1;Downtown
4;Strathcona
4;Strathcona
8;Strathcona
2;Strathcona
1;Strathcona
1;Strathcona
8;Downtown
2;Strathcona
3;Strathcona
23;Downtown
23;Downtown
5;Strathcona
4;Strathcona
1;Strathcona
5;Strathcona
7;Strathcona
11;Downtown
7;Strathcona
7;Downtown
6;Downtown
1;Strathcona
2;Downtown
1;Downtown
2;Downtown
1;Strathcona
1;Downtown
3;Strathcona
3;Strathcona
3;Strathcona
8;Strathcona
7;Strathcona
3;Downtown
6;Downtown
4;Downtown
16;Downtown
1;Downtown
1;Downtown
5;Strathcona
5;Downtown
1;Strathcona
2;Downtown
2;Downtown
3;Downtown
3;Downtown
1;Strathcona
2;Strathcona
11;Strathcona
11;Strathcona
6;Strathcona
1;Downtown
2;Strathcona
10;Downtown
2;Strathcona
13;Strathcona
3;Downtown
7;Strathcona
8;Downtown
1;Downtown
2;Strathcona
1;Strathcona
2;Strathcona
3;Downtown
15;Strathcona
9;Downtown
2;Downtown
3;Strathcona
2;Downtown
4;Strathcona
1;Strathcona
7;Downtown
1;Downtown
18;Downtown
4;Strathcona
1;Strathcona
7;Downtown
3;Strathcona
13;Strathcona
4;Downtown
8;Downtown
3;Downtown
1;Downtown
2;Strathcona
2;Downtown
8;Downtown
2;Strathcona
11;Strathcona
1;Downtown
4;Strathcona
4;Strathcona
4;Strathcona
4;Strathcona
1;Strathcona
3;Downtown
3;Downtown
7;Strathcona
1;Downtown
16;Strathcona
8;Downtown
1;Downtown
1;Downtown
1;Downtown
5;Strathcona
1;Downtown
3;Downtown
8;Downtown
5;Strathcona
1;Downtown
15;Downtown
1;Strathcona
5;Downtown
8;Strathcona
2;Downtown
7;Downtown
1;Downtown
4;Downtown
4;Downtown
2;Strathcona
4;Downtown
3;Downtown
1;Downtown
1;Downtown
2;Downtown
17;Downtown
1;Downtown
11;Strathcona
1;Strathcona
1;Strathcona
2;Downtown
1;Strathcona
3;Downtown
1;Downtown
19;Downtown
6;Strathcona
13;Downtown
8;Strathcona
1;Downtown
1;Downtown
1;Downtown
1;Strathcona
4;Strathcona
5;Strathcona
3;Downtown
1;Downtown
20;Downtown
3;Downtown
3;Downtown
15;Downtown
1;Strathcona
4;Strathcona
6;Strathcona
1;Downtown
1;Downtown
1;Downtown
6;Downtown
10;Strathcona
1;Downtown
1;Downtown
1;Downtown
1;Downtown
1;Downtown
1;Downtown
1;Downtown
5;Strathcona
5;Downtown
1;Strathcona
2;Strathcona
2;Strathcona
2;Strathcona
5;Downtown
1;Downtown
1;Downtown
2;Downtown
2;Downtown
4;Downtown
2;Downtown
8;Downtown
4;Strathcona
7;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
2;Strathcona
8;Strathcona
1;Downtown
7;Strathcona
7;Strathcona
7;Strathcona
7;Strathcona
1;Strathcona
4;Downtown
1;Strathcona
2;Downtown
3;Strathcona
2;Strathcona
1;Downtown
1;Downtown
1;Downtown
4;Strathcona
1;Strathcona
1;Downtown
1;Strathcona
2;Strathcona
4;Downtown
1;Strathcona
2;Strathcona
3;Downtown
3;Downtown
1;Downtown
1;Downtown
4;Downtown
4;Downtown
4;Downtown
6;Strathcona
3;Strathcona
3;Strathcona
1;Downtown
2;Downtown
2;Downtown
1;Strathcona
14;Downtown
1;Downtown
7;Strathcona
7;Strathcona
1;Strathcona
13;Strathcona
6;Strathcona
1;Strathcona
1;Strathcona
1;Downtown
4;Strathcona
4;Strathcona
1;Strathcona
1;Strathcona
3;Strathcona
1;Strathcona
2;Downtown
3;Strathcona
5;Strathcona
2;Downtown
4;Downtown
4;Strathcona
1;Strathcona
4;Strathcona
4;Strathcona
1;Downtown
1;Strathcona
1;Downtown
2;Strathcona
2;Strathcona
4;Downtown
1;Strathcona
1;Downtown
1;Strathcona
2;Downtown
1;Strathcona
1;Downtown
1;Strathcona
1;Strathcona
1;Strathcona
1;Downtown
1;Downtown
1;Strathcona
1;Downtown
2;Strathcona
2;Strathcona
7;Downtown
10;Strathcona
1;Downtown
5;Strathcona
2;Downtown
1;Downtown
1;Downtown
6;Downtown
2;Downtown
4;Downtown
8;Downtown
14;Downtown
3;Downtown
1;Strathcona
1;Strathcona
4;Downtown
1;Strathcona
12;Downtown
3;Downtown
2;Downtown
11;Strathcona
1;Downtown
1;Downtown
1;Downtown
1;Downtown
1;Downtown
1;Downtown
14;Downtown
2;Strathcona
5;Strathcona
1;Strathcona
2;Strathcona
2;Downtown
1;Downtown
1;Strathcona
2;Strathcona
2;Downtown
4;Downtown
4;Downtown
3;Downtown
4;Downtown
1;Strathcona
1;Strathcona
4;Downtown
7;Downtown
3;Downtown
3;Downtown
1;Downtown
1;Downtown
2;Strathcona
2;Strathcona
5;Strathcona
1;Strathcona
10;Downtown
4;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
6;Downtown
3;Strathcona
7;Strathcona
2;Strathcona
8;Downtown
4;Downtown
1;Downtown
2;Downtown
1;Downtown
6;Downtown
1;Downtown
8;Downtown
1;Downtown
17;Strathcona
14;Strathcona
10;Strathcona
2;Downtown
1;Strathcona
1;Downtown
1;Downtown
11;Downtown
4;Downtown
2;Strathcona
10;Strathcona
10;Strathcona
15;Downtown
10;Downtown
6;Strathcona
6;Strathcona
6;Strathcona
2;Downtown
1;Downtown
13;Downtown
1;Strathcona
1;Strathcona
7;Downtown
1;Downtown
4;Downtown
4;Downtown
2;Strathcona
3;Downtown
4;Downtown
1;Downtown
5;Strathcona
4;Downtown
3;Strathcona
8;Downtown
1;Downtown
2;Strathcona
2;Strathcona
10;Downtown
2;Downtown
1;Strathcona
1;Downtown
8;Downtown
1;Downtown
2;Downtown
5;Downtown
2;Downtown
1;Downtown
12;Downtown
3;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
1;Downtown
2;Strathcona
5;Strathcona
5;Strathcona
9;Strathcona
9;Strathcona
1;Downtown
1;Downtown
8;Downtown
1;Strathcona
13;Downtown
5;Strathcona
1;Downtown
7;Strathcona
1;Downtown
8;Downtown
3;Downtown
1;Downtown
1;Downtown
3;Strathcona
4;Downtown
10;Strathcona
10;Strathcona
6;Strathcona
6;Strathcona
1;Downtown
14;Downtown
5;Downtown
5;Downtown
3;Downtown
11;Strathcona
2;Downtown
2;Downtown
10;Strathcona
6;Strathcona
6;Strathcona
7;Strathcona
5;Downtown
11;Strathcona
4;Strathcona
7;Strathcona
4;Downtown
9;Downtown
9;Downtown
9;Downtown
9;Strathcona
5;Downtown
3;Strathcona
5;Downtown
2;Downtown
2;Downtown
3;Downtown
5;Downtown
3;Strathcona
3;Strathcona
5;Downtown
1;Strathcona
5;Strathcona
18;Downtown
9;Downtown
1;Downtown
8;Downtown
1;Strathcona
2;Strathcona
3;Strathcona
1;Downtown
2;Downtown
3;Downtown
1;Strathcona
3;Downtown
6;Strathcona
11;Strathcona
11;Strathcona
20;Downtown
3;Downtown
10;Strathcona
5;Downtown
9;Downtown
3;Downtown
10;Downtown
6;Strathcona
6;Strathcona
14;Strathcona
2;Strathcona
4;Downtown
2;Downtown
3;Strathcona
3;Strathcona
2;Downtown
3;Downtown
1;Strathcona
1;Downtown
6;Downtown
11;Strathcona
13;Downtown
3;Downtown
10;Downtown
4;Strathcona
1;Strathcona
1;Strathcona
5;Downtown
12;Strathcona
16;Strathcona
16;Strathcona
15;Strathcona
15;Strathcona
2;Downtown
16;Downtown
16;Downtown
15;Strathcona
8;Downtown
8;Downtown
4;Downtown
4;Downtown
1;Strathcona
7;Downtown
1;Downtown
6;Downtown
2;Strathcona
3;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
7;Strathcona
5;Strathcona
5;Strathcona
6;Strathcona
5;Strathcona
5;Strathcona
4;Downtown
6;Strathcona
5;Strathcona
2;Downtown
1;Downtown
1;Downtown
17;Downtown
11;Strathcona
9;Strathcona
5;Strathcona
8;Downtown
8;Downtown
1;Strathcona
4;Strathcona
1;Strathcona
1;Strathcona
1;Downtown
2;Strathcona
4;Strathcona
4;Downtown
2;Strathcona
3;Strathcona
4;Strathcona
4;Strathcona
10;Strathcona
1;Strathcona
2;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
14;Downtown
8;Strathcona
1;Strathcona
1;Strathcona
5;Downtown
1;Downtown
1;Downtown
1;Downtown
2;Strathcona
1;Downtown
2;Downtown
1;Strathcona
2;Strathcona
3;Strathcona
3;Strathcona
1;Strathcona
3;Downtown
2;Downtown
4;Downtown
1;Downtown
8;Strathcona
4;Strathcona
2;Downtown
1;Downtown
1;Downtown
1;Downtown
4;Downtown
1;Strathcona
1;Strathcona
1;Strathcona
1;Downtown
1;Downtown
1;Downtown
1;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
13;Strathcona
13;Strathcona
1;Downtown
6;Strathcona
6;Strathcona
1;Strathcona
1;Strathcona
3;Downtown
7;Downtown
20;Strathcona
5;Strathcona
4;Strathcona
1;Strathcona
3;Strathcona
5;Downtown
2;Downtown
2;Downtown
2;Downtown
8;Downtown
6;Downtown
8;Strathcona
8;Downtown
9;Downtown
4;Strathcona
4;Strathcona
3;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
3;Strathcona
1;Downtown
6;Downtown
2;Downtown
14;Downtown
7;Downtown
7;Downtown
7;Downtown
11;Strathcona
1;Downtown
6;Strathcona
7;Downtown
7;Strathcona
1;Downtown
2;Downtown
2;Downtown
2;Downtown
4;Strathcona
2;Downtown
8;Downtown
9;Strathcona
8;Downtown
13;Strathcona
13;Strathcona
1;Downtown
1;Downtown
12;Downtown
4;Downtown
1;Downtown
2;Downtown
8;Downtown
2;Downtown
3;Strathcona
2;Downtown
6;Strathcona
3;Strathcona
1;Strathcona
5;Downtown
2;Strathcona
1;Strathcona
10;Strathcona
1;Strathcona
3;Strathcona
2;Strathcona
2;Strathcona
1;Strathcona
1;Downtown
1;Downtown
3;Downtown
2;Strathcona
1;Strathcona
3;Downtown
3;Downtown
1;Strathcona
1;Strathcona
1;Strathcona
4;Strathcona
2;Strathcona
5;Strathcona
11;Strathcona
15;Strathcona
1;Downtown
1;Downtown
1;Downtown
11;Downtown
5;Downtown
1;Strathcona
2;Strathcona
4;Downtown
3;Strathcona
6;Strathcona
4;Downtown
10;Downtown
2;Strathcona
7;Downtown
1;Downtown
2;Strathcona
5;Downtown
3;Strathcona
3;Strathcona
5;Strathcona
5;Downtown
2;Strathcona
1;Downtown
7;Downtown
1;Strathcona
4;Strathcona
4;Strathcona
5;Strathcona
11;Downtown
15;Downtown
1;Strathcona
1;Downtown
8;Strathcona
1;Strathcona
1;Downtown
5;Strathcona
6;Downtown
3;Strathcona
5;Strathcona
1;Strathcona
1;Strathcona
1;Strathcona
6;Strathcona
2;Strathcona
14;Strathcona
6;Downtown
1;Strathcona
3;Strathcona
3;Downtown
2;Downtown
2;Downtown
7;Downtown
8;Downtown
19;Downtown
4;Strathcona
4;Strathcona
12;Downtown
5;Strathcona
4;Downtown
1;Downtown
1;Strathcona
12;Strathcona
2;Downtown
5;Downtown
1;Downtown
2;Downtown
9;Downtown
1;Downtown
1;Downtown
2;Downtown
1;Strathcona
6;Strathcona
6;Strathcona
1;Strathcona
2;Downtown
2;Downtown
1;Strathcona
1;Downtown
2;Downtown
4;Strathcona
4;Strathcona
2;Strathcona
8;Downtown
1;Strathcona
5;Downtown
1;Downtown
13;Strathcona
3;Downtown
12;Strathcona
4;Strathcona
1;Downtown
7;Strathcona
11;Downtown
2;Downtown
1;Downtown
15;Downtown
15;Downtown
1;Downtown
11;Downtown
1;Downtown
1;Strathcona
4;Strathcona
2;Downtown
1;Strathcona
1;Downtown
2;Downtown
6;Strathcona
2;Downtown
2;Downtown
2;Downtown
7;Downtown
10;Downtown
8;Downtown
11;Downtown
8;Downtown
9;Downtown
11;Strathcona
5;Strathcona
10;Strathcona
10;Strathcona
2;Strathcona
6;Strathcona
1;Downtown
2;Strathcona
10;Downtown
6;Strathcona
6;Strathcona
1;Downtown
1;Downtown
8;Downtown
4;Strathcona
13;Downtown
10;Downtown
1;Downtown
2;Downtown
5;Strathcona
2;Downtown
1;Downtown
1;Downtown
3;Strathcona
15;Strathcona
11;Downtown
8;Downtown
5;Strathcona
2;Strathcona
4;Strathcona
7;Strathcona
9;Downtown
1;Downtown
5;Downtown
7;Downtown
2;Strathcona
1;Strathcona
3;Downtown
1;Strathcona
10;Strathcona
10;Strathcona
19;Downtown
13;Downtown
13;Downtown
2;Strathcona
4;Strathcona
6;Strathcona
1;Strathcona
8;Strathcona
9;Downtown
4;Downtown
1;Downtown
2;Downtown
1;Strathcona
1;Strathcona
1;Strathcona
3;Downtown
5;Downtown
1;Strathcona
1;Downtown
4;Strathcona
11;Strathcona
2;Downtown
1;Strathcona
3;Downtown
1;Downtown
7;Downtown
2;Strathcona
6;Downtown
3;Strathcona
1;Downtown
1;Downtown
1;Downtown
2;Downtown
7;Downtown
7;Downtown
3;Strathcona
1;Strathcona
1;Downtown
4;Strathcona
1;Downtown
5;Downtown
3;Downtown
1;Downtown
5;Strathcona
1;Downtown
15;Strathcona
5;Strathcona
1;Strathcona
2;Downtown
5;Strathcona
5;Strathcona
8;Downtown
2;Strathcona
5;Strathcona
4;Downtown
18;Downtown
7;Strathcona
1;Downtown
7;Strathcona
7;Strathcona
7;Strathcona
7;Strathcona
2;Strathcona
2;Strathcona
3;Downtown
4;Downtown
4;Downtown
7;Downtown
6;Strathcona
1;Downtown
8;Strathcona
5;Strathcona
8;Strathcona
4;Downtown
1;Downtown
1;Downtown
1;Downtown
2;Strathcona
2;Strathcona
6;Downtown
8;Downtown
1;Strathcona
9;Strathcona
2;Downtown
3;Strathcona
3;Strathcona
4;Downtown
1;Strathcona
2;Strathcona
15;Strathcona
3;Strathcona
3;Strathcona
4;Strathcona
1;Strathcona
1;Strathcona
8;Strathcona
3;Downtown
6;Strathcona
3;Strathcona
1;Strathcona
2;Strathcona
2;Strathcona
2;Downtown
1;Downtown
1;Strathcona
8;Strathcona
1;Strathcona
1;Strathcona
7;Downtown
4;Strathcona
1;Downtown
1;Downtown
3;Strathcona
3;Strathcona
1;Strathcona
2;Strathcona
